added_at,id,name,popularity,uri,artist,album,release_date,duration_ms,length,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,mode,key,genres,genre_group
2022-03-27T13:20:26Z,663rvMyAyHIrEszP53zIo3,No More Looking Back (feat. Steffanie Christi'an) - Extended Mix,18,spotify:track:663rvMyAyHIrEszP53zIo3,Idris Elba,No More Looking Back (feat. Steffanie Christi'an),2021-02-05,312337,312337.0,0.797,0.000141,0.732,0.0105,0.0338,-8.137,0.0668,123.002,4.0,0.815,1.0,6.0,uk tech house,house
2022-03-27T13:15:58Z,566U7bjbnK0I3RxObVVpA9,Can't Take My Eyes Off You - Original Extended Version,57,spotify:track:566U7bjbnK0I3RxObVVpA9,Boys Town Gang,Disc Charge,1982-04-09,575674,575674.0,0.635,0.00173,0.759,0.686,0.0634,-12.032,0.0326,129.387,4.0,0.715,1.0,10.0,"disco, hi-nrg",disco
2022-03-27T13:13:33Z,2Qa3z8W5w3dukIwZZ20z36,Hell On Earth,2,spotify:track:2Qa3z8W5w3dukIwZZ20z36,KAS:ST,Hell On Earth,2018-10-17,388254,388254.0,0.537,0.0481,0.899,0.906,0.0985,-8.566,0.0552,135.954,3.0,0.0624,0.0,8.0,french techno,techno
2022-03-27T13:09:59Z,7AqDTIFTWMHS24MEHp4GC2,Hot,1,spotify:track:7AqDTIFTWMHS24MEHp4GC2,Adam Vandal,DD 05 - Silence Is Violence,2021-10-08,409549,409549.0,0.671,0.0013,0.944,0.777,0.122,-8.656,0.068,155.01,4.0,0.57,0.0,10.0,,
2022-03-27T13:01:16Z,0CjMQpIj3A3HK47IWpUHEm,Burning - Vibe Mix,45,spotify:track:0CjMQpIj3A3HK47IWpUHEm,MK,Burning,2011-10-17,350807,350807.0,0.68,0.000458,0.817,0.00364,0.115,-5.199,0.0342,119.681,4.0,0.422,0.0,6.0,"dance pop, deep groove house, edm, house, pop dance, tropical house",house
2022-03-26T23:40:56Z,5tdLYBYlG4dRNkgQP6Ym8m,Scream,32,spotify:track:5tdLYBYlG4dRNkgQP6Ym8m,Mazoo,Blade Runner,2021-08-28,197636,197636.0,0.861,0.14,0.599,0.00243,0.12,-8.669,0.222,127.996,4.0,0.613,1.0,0.0,"rap francais nouvelle vague, rap lyonnais",rap
2022-03-20T09:31:16Z,0GvAO9o9EgKcMVsy97zGbX,Envidia y Mentira,1,spotify:track:0GvAO9o9EgKcMVsy97zGbX,Los Satélites de Venezuela Andy y Cheche Mendoza,Éxitos del Ayer 2,2021-11-08,241725,241725.0,0.788,0.886,0.336,0.00083,0.0933,-11.325,0.0452,118.485,4.0,0.904,0.0,0.0,,
2022-03-20T07:49:09Z,45cyszztlG5IzqM6pisJaU,90's Feeling,53,spotify:track:45cyszztlG5IzqM6pisJaU,VCL,90's Feeling,2019-12-19,341004,341004.0,0.479,0.00686,0.992,0.952,0.0759,-5.71,0.0683,150.018,4.0,0.48,0.0,9.0,,
2022-03-20T07:46:11Z,0f3MBHjkB80r8BSHhD6KpG,Pasilda,39,spotify:track:0f3MBHjkB80r8BSHhD6KpG,Melé,Melé In The House Sampler,2018-06-29,230420,230420.0,0.729,0.0752,0.96,0.91,0.0135,-6.165,0.0534,124.991,4.0,0.638,1.0,8.0,"future garage, uk house",house
2022-03-20T07:44:38Z,4dyPfwEpD2XeC3IZ7Wab2k,Myoclonus,14,spotify:track:4dyPfwEpD2XeC3IZ7Wab2k,Introversion,REM,2020-11-16,368077,368077.0,0.75,0.000106,0.97,0.934,0.0744,-6.226,0.0703,137.012,4.0,0.238,0.0,0.0,minimal dub,
2022-03-20T07:44:24Z,0rgQp5Pi4C2G8vQrhaTS7b,The Age Of Love - Jam & Spoon Watch Out For Stella Mix,2,spotify:track:0rgQp5Pi4C2G8vQrhaTS7b,Age Of Love,The Age Of Love,2009-10-19,408773,408773.0,0.737,0.0131,0.469,0.821,0.0776,-15.214,0.057,130.001,4.0,0.0956,1.0,1.0,bubble trance,trance
2022-03-20T07:43:39Z,50JfI4W7wfCrw1yMt1S7yx,Everyone dances,36,spotify:track:50JfI4W7wfCrw1yMt1S7yx,Dj Mkay,Intro,2021-11-18,417750,417750.0,0.703,0.00683,0.656,0.793,0.105,-19.39,0.0562,127.991,4.0,0.138,1.0,1.0,,
2022-03-18T18:37:19Z,25iuPAsp2Rd7GRnnn2yHjo,Evening Drive,42,spotify:track:25iuPAsp2Rd7GRnnn2yHjo,Various Artists,PIV ADE SAMPLER 2019,2019-10-18,421853,421853.0,0.803,0.0115,0.801,0.877,0.07,-9.826,0.0633,128.006,4.0,0.572,0.0,5.0,"disco, funk, post-disco, quiet storm, soul",funk
2022-03-15T21:58:09Z,4pwOZg44jAR7ljIfmYR8jR,Dreamy,23,spotify:track:4pwOZg44jAR7ljIfmYR8jR,Ky William,"Andhera Records Summer Sampler, Vol. 1",2020-06-15,360973,360973.0,0.8,0.0424,0.902,0.866,0.0572,-7.808,0.0477,129.0,4.0,0.681,0.0,9.0,,
2022-03-15T17:13:20Z,3drkGJlllXCfFSB8K3Dl1Q,Fantasia,35,spotify:track:3drkGJlllXCfFSB8K3Dl1Q,Kreech,Lovin' U,2021-03-26,234374,234374.0,0.788,0.0103,0.791,0.444,0.0797,-9.069,0.0671,128.032,4.0,0.565,0.0,1.0,,
2022-03-15T16:52:09Z,3W5ctwudeucfDZE21emzqG,Izinque - Alessio Cala' Remix,50,spotify:track:3W5ctwudeucfDZE21emzqG,Angelo Ferreri,Izinque (Alessio Cala' Remix),2019-06-06,336000,336000.0,0.865,0.00283,0.647,0.431,0.161,-7.782,0.0716,122.01,4.0,0.488,0.0,5.0,"deep house, disco house, funky house, funky tech house, house, italian tech house, jackin house, vocal house",funk
2022-03-15T16:28:01Z,1XsgK3Zg0BniDYkWXXH8If,Ne vspominaem,21,spotify:track:1XsgK3Zg0BniDYkWXXH8If,Arkady Antsyrev,Ne vspominaem,2018-07-06,421478,421478.0,0.807,0.0289,0.53,0.555,0.0686,-13.661,0.0928,123.014,4.0,0.27,0.0,2.0,russian electronic,electronic
2022-03-15T16:17:22Z,5vDzvI1hbqalonNOVIGn0U,Luck,21,spotify:track:5vDzvI1hbqalonNOVIGn0U,Arkady Antsyrev,Focus,2019-01-06,368955,368955.0,0.798,0.0422,0.513,0.929,0.111,-13.581,0.0918,124.0,4.0,0.287,0.0,4.0,russian electronic,electronic
2022-03-14T12:01:53Z,714hERk9U1W8FMYkoC83CO,You Sexy Thing,72,spotify:track:714hERk9U1W8FMYkoC83CO,Hot Chocolate,Hot Chocolate,1975,244920,244920.0,0.791,0.523,0.733,0.0016,0.167,-5.465,0.0633,105.853,4.0,0.962,1.0,5.0,"classic uk pop, disco, soft rock",rock
2022-03-13T21:42:09Z,1HGUMoGnWQYASA8pnQFtZV,Sudden,17,spotify:track:1HGUMoGnWQYASA8pnQFtZV,Project89,Notice Me,2021-11-26,395409,395409.0,0.785,0.00132,0.915,0.755,0.0754,-7.341,0.121,127.988,4.0,0.526,0.0,2.0,,
2022-03-13T21:36:04Z,6x4p2pDonm9iBTv2x32NEk,Notice Me,19,spotify:track:6x4p2pDonm9iBTv2x32NEk,Project89,Notice Me,2021-11-26,424186,424186.0,0.761,0.00762,0.913,0.748,0.251,-7.813,0.0643,128.958,4.0,0.436,0.0,0.0,,
2022-03-13T21:34:59Z,2lN8obgXE2BRinOdmgmWBb,Set The Sun,19,spotify:track:2lN8obgXE2BRinOdmgmWBb,Prunk,Telling You The Truth,2021-03-15,393751,393751.0,0.793,0.000869,0.911,0.869,0.0906,-8.682,0.0699,128.006,4.0,0.865,1.0,7.0,dutch tech house,house
2022-03-13T21:34:52Z,2HMR76nQq8exp9TzcfLSLu,Telling You The Truth,23,spotify:track:2HMR76nQq8exp9TzcfLSLu,Prunk,Telling You The Truth,2021-03-15,393442,393442.0,0.8,0.015,0.731,0.696,0.0874,-8.418,0.0566,128.044,4.0,0.772,0.0,6.0,dutch tech house,house
